id1	id2	level1	level2	id3	id4	level3	level4	name	description	desc_val	desc_add1	desc_val1	desc_add2	desc_val2
1	0	1	0	0	0	-1	-1	a,Triple Slash\0	u,Quickly strikes the target three times with $s1 Power. For $s2 decreases enemy’s P. Def. by $s3. Requires dual swords. Over-hit is possible. Ignores shield block.\0	a,517;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	2	0	1	0	1	0	a,Triple Slash\0	a,	a,549;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	3	0	1	0	2	0	a,Triple Slash\0	a,	a,583;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	4	0	1	0	3	0	a,Triple Slash\0	a,	a,619;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	5	0	1	0	4	0	a,Triple Slash\0	a,	a,656;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	6	0	1	0	5	0	a,Triple Slash\0	a,	a,694;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	7	0	1	0	6	0	a,Triple Slash\0	a,	a,735;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	8	0	1	0	7	0	a,Triple Slash\0	a,	a,777;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	9	0	1	0	8	0	a,Triple Slash\0	a,	a,820;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	10	0	1	0	9	0	a,Triple Slash\0	a,	a,865;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	11	0	1	0	10	0	a,Triple Slash\0	a,	a,912;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	12	0	1	0	11	0	a,Triple Slash\0	a,	a,960;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	13	0	1	0	12	0	a,Triple Slash\0	a,	a,1010;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	14	0	1	0	13	0	a,Triple Slash\0	a,	a,1062;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	15	0	1	0	14	0	a,Triple Slash\0	a,	a,1115;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	16	0	1	0	15	0	a,Triple Slash\0	a,	a,1169;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	17	0	1	0	16	0	a,Triple Slash\0	a,	a,1225;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	18	0	1	0	17	0	a,Triple Slash\0	a,	a,1283;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	19	0	1	0	18	0	a,Triple Slash\0	a,	a,1342;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	20	0	1	0	19	0	a,Triple Slash\0	a,	a,1402;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	21	0	1	0	20	0	a,Triple Slash\0	a,	a,1464;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	22	0	1	0	21	0	a,Triple Slash\0	a,	a,1527;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	23	0	1	0	22	0	a,Triple Slash\0	a,	a,1591;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	24	0	1	0	23	0	a,Triple Slash\0	a,	a,1656;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	25	0	1	0	24	0	a,Triple Slash\0	a,	a,1722;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	26	0	1	0	25	0	a,Triple Slash\0	a,	a,1789;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	27	0	1	0	26	0	a,Triple Slash\0	a,	a,1857;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	28	0	1	0	27	0	a,Triple Slash\0	a,	a,1926;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	29	0	1	0	28	0	a,Triple Slash\0	a,	a,1995;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	30	0	1	0	29	0	a,Triple Slash\0	a,	a,2065;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	31	0	1	0	30	0	a,Triple Slash\0	a,	a,2135;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	32	0	1	0	31	0	a,Triple Slash\0	a,	a,2206;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	33	0	1	0	32	0	a,Triple Slash\0	a,	a,2277;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
1	0	34	0	1	0	33	0	a,Triple Slash\0	a,	a,2347;10 seconds;23%\0	a,none\0	a,	a,none\0	a,
