skill_id	skill_level	oper_type	UNK_0	mp_consume	cast_style	cast_range	UNK_1	hit_time[0]	hit_time[1]	hit_time[2]	is_magic	UNK_3[0]	UNK_3[1]	UNK_3[2]	UNK	CNT_0	ani_char[0]	ani_char[1]	desc	icon_name	icon_name2	extra_eff	is_ench	ench_skill_id	hp_consume	nonetext1	UNK_4[0]	UNK_4[1]	UNK_4[2]	UNK_4[3]	nonetext2
1	1	0	0	1	42	40	9	1.73300004	0.16700000	3.00000000	-213	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	2	0	0	1	43	40	9	1.73300004	0.16700000	3.00000000	-219	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	3	0	0	1	45	40	9	1.73300004	0.16700000	3.00000000	-225	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	4	0	0	1	45	40	9	1.73300004	0.16700000	3.00000000	-231	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	5	0	0	1	46	40	9	1.73300004	0.16700000	3.00000000	-237	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	6	0	0	1	47	40	9	1.73300004	0.16700000	3.00000000	-242	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	7	0	0	1	49	40	9	1.73300004	0.16700000	3.00000000	-248	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	8	0	0	1	50	40	9	1.73300004	0.16700000	3.00000000	-254	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	9	0	0	1	52	40	9	1.73300004	0.16700000	3.00000000	-260	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	10	0	0	1	53	40	9	1.73300004	0.16700000	3.00000000	-265	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	11	0	0	1	55	40	9	1.73300004	0.16700000	3.00000000	-271	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	12	0	0	1	56	40	9	1.73300004	0.16700000	3.00000000	-277	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	13	0	0	1	58	40	9	1.73300004	0.16700000	3.00000000	-283	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	14	0	0	1	58	40	9	1.73300004	0.16700000	3.00000000	-288	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	15	0	0	1	59	40	9	1.73300004	0.16700000	3.00000000	-294	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	16	0	0	1	61	40	9	1.73300004	0.16700000	3.00000000	-299	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	17	0	0	1	62	40	9	1.73300004	0.16700000	3.00000000	-305	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	18	0	0	1	64	40	9	1.73300004	0.16700000	3.00000000	-310	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	19	0	0	1	65	40	9	1.73300004	0.16700000	3.00000000	-316	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	20	0	0	1	67	40	9	1.73300004	0.16700000	3.00000000	-321	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	21	0	0	1	68	40	9	1.73300004	0.16700000	3.00000000	-326	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	22	0	0	1	70	40	9	1.73300004	0.16700000	3.00000000	-331	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	23	0	0	1	71	40	9	1.73300004	0.16700000	3.00000000	-336	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
1	24	0	0	1	71	40	9	1.73300004	0.16700000	3.00000000	-340	0	0	0	0	1	Mix05		1	icon.skill0001		1	0	0	0	a,none\0	0	9	11	0	a,none\0
